Problem,Best Result,Average Result
D198,22730.8,23550.2
EIL101,710.7,738.2
EIL51,444.2,460.4
EIL76,595.7,604.4
KROA100,25563.7,27136.2
KROA150,36416.1,37180.9
KROB150,34765.0,36098.3
KROC100,25645.3,26988.1
KROD100,24729.4,25855.7
KROE100,25137.2,27605.2
LIN105,18178.0,19349.1
PR107,61346.6,63737.3
PR124,74957.9,90243.1
PR144,102549.0,109924.8
PR152,97541.1,122623.9
PR76,122177.5,126238.7
RAT99,1417.6,1490.9
RD100,9532.7,9840.3
ST70,734.8,776.9
U159,55835.9,61038.4
